region;comuna;administra;psu;nem
Bío-Bío;Bulnes;Municipal;4.386.389;57.688
Bío-Bío;Tucapel;Municipal;4.385.188;57.348
Araucanía;Cholchol;Particular Subvencionado;4.385.174;55.741
Bío-Bío;Ñiquén;Municipal;4.384.355;56.605
Los Lagos;San Juan De La Costa;Particular Subvencionado;4.378.846;57.476
Araucanía;Nueva Imperial;Municipal;4.376.754;54.733
Los Lagos;Llanquihue;Municipal;4.375.385;54.543
Valparaíso;Puchuncaví;Municipal;4.374.496;56.812
Metropolitana;Estacion Central;Corporación de Administración Delegada;4.373.351;54.905
Bío-Bío;Yungay;Municipal;4.370.918;57.020
Araucanía;Galvarino;Municipal;4.370.672;54.873
Bío-Bío;Hualpén;Municipal;4.366.342;54.801
O'Higgins;Doñihue;Municipal;4.361.420;53.879
Metropolitana;Quinta Normal;Municipal;4.357.767;53.623
O'Higgins;San Francisco De Mostazal;Particular Subvencionado;4.356.667;52.320
Los Lagos;Curaco De Vélez;Municipal;4.349.071;57.154
Valparaíso;Algarrobo;Municipal;4.348.415;55.112
Atacama;Freirina;Municipal;4.346.897;58.423
Valparaíso;Quillota;Municipal;4.345.825;55.027
Maule;Retiro;Municipal;4.341.327;56.085
Los Ríos;Paillaco;Particular Subvencionado;4.340.673;58.030
Los Ríos;Panguipulli;Particular Subvencionado;4.340.479;56.550
Metropolitana;Colina;Municipal;4.339.901;54.499
Valparaíso;El Tabo;Municipal;4.339.091;55.419
Los Ríos;Futrono;Municipal;4.337.222;53.735
Valparaíso;Catemu;Particular Subvencionado;4.336.250;54.756
Araucanía;Carahue;Particular Subvencionado;4.334.146;55.302
Bío-Bío;Los Alamos;Particular Subvencionado;4.333.333;55.352
Coquimbo;Canela;Municipal;4.332.717;59.714
Araucanía;Perquenco;Municipal;4.331.438;55.472
Coquimbo;Illapel;Municipal;4.330.429;55.615
Los Lagos;Los Muermos;Municipal;4.329.595;55.250
Araucanía;Toltén;Municipal;4.328.125;56.790
Bío-Bío;Quilleco;Municipal;4.328.019;56.089
Bío-Bío;Hualqui;Municipal;4.326.150;55.825
Tarapacá;Iquique;Corporación de Administración Delegada;4.324.912;53.679
Metropolitana;Lo Barnechea;Municipal;4.323.701;53.990
Bío-Bío;Cabrero;Municipal;4.320.405;56.708
Valparaíso;Quilpué;Municipal;4.316.098;54.594
Los Lagos;San Pablo;Municipal;4.315.323;56.375
Metropolitana;Recoleta;Municipal;4.314.652;55.001
Valparaíso;Limache;Municipal;4.312.243;54.587
Araucanía;Ercilla;Municipal;4.311.667;57.136
Valparaíso;Cabildo;Municipal;4.310.894;55.587
Maule;San Clemente;Municipal;4.308.776;54.495
Metropolitana;Peñalolén;Municipal;4.307.051;53.505
Metropolitana;San Ramón;Corporación de Administración Delegada;4.306.250;52.285
Maule;Sagrada Familia;Municipal;4.306.136;55.640
Bío-Bío;Chillán Viejo;Municipal;4.306.111;58.297
Los Lagos;Hualaihué;Particular Subvencionado;4.306.000;57.556
Metropolitana;El Monte;Particular Subvencionado;4.304.949;52.908
O'Higgins;Las Cabras;Municipal;4.303.811;56.901
Valparaíso;La Ligua;Municipal;4.301.810;55.395
Araucanía;Perquenco;Particular Subvencionado;4.301.667;53.988
Atacama;Vallenar;Municipal;4.299.808;56.140
Metropolitana;San Bernardo;Municipal;4.294.524;53.967
Bío-Bío;Penco;Municipal;4.294.133;55.593
Atacama;Huasco;Municipal;4.293.357;57.821
Metropolitana;Paine;Municipal;4.292.863;55.104
Bío-Bío;Negrete;Particular Subvencionado;4.291.818;58.040
O'Higgins;Lolol;Municipal;4.291.429;56.491
Maule;San Javier;Municipal;4.289.518;54.419
Metropolitana;Buin;Municipal;4.288.694;55.175
Metropolitana;El Monte;Municipal;4.287.778;56.065
Bío-Bío;Tirua;Municipal;4.284.239;58.166
O'Higgins;Codegua;Particular Subvencionado;4.283.824;55.700
Metropolitana;Estacion Central;Municipal;4.282.442;53.720
Maule;Romeral;Particular Subvencionado;4.281.500;57.092
Metropolitana;Pudahuel;Municipal;4.280.023;54.216
Antofagasta;Mejillones;Municipal;4.277.152;58.731
Metropolitana;Curacaví;Municipal;4.272.456;57.018
Valparaíso;Cartagena;Municipal;4.272.056;55.937
Araucanía;Curacautín;Corporación de Administración Delegada;4.271.923;56.280
Coquimbo;Ovalle;Corporación de Administración Delegada;4.270.729;52.019
Metropolitana;San Pedro;Municipal;4.266.721;54.867
O'Higgins;Paredones;Municipal;4.266.538;55.927
Maule;Empedrado;Municipal;4.265.833;54.815
Los Lagos;Quemchi;Municipal;4.264.800;55.523
Araucanía;Freire;Municipal;4.260.820;56.037
Los Lagos;Cochamó;Municipal;4.260.000;54.900
Metropolitana;Cerro Navia;Particular Subvencionado;4.259.631;53.676
Metropolitana;Til-Til;Municipal;4.255.593;54.344
O'Higgins;Pichidegua;Municipal;4.252.432;55.085
Valparaíso;La Cruz;Municipal;4.248.968;54.853
Metropolitana;Pirque;Municipal;4.247.917;53.830
Valparaíso;Hijuelas;Municipal;4.244.770;55.577
Valparaíso;Nogales;Municipal;4.244.643;55.765
O'Higgins;Navidad;Municipal;4.242.155;55.204
Valparaíso;Casablanca;Municipal;4.242.008;55.692
Valparaíso;Petorca;Municipal;4.241.000;56.422
O'Higgins;Coinco;Municipal;4.239.259;55.664
Bío-Bío;San Ignacio;Municipal;4.236.172;59.058
Los Lagos;Puyehue;Municipal;4.232.586;57.855
Maule;Maule;Corporación de Administración Delegada;4.231.633;54.585
Valparaíso;Panquehue;Municipal;4.226.000;55.651
Valparaíso;San Esteban;Municipal;4.225.714;53.662
Bío-Bío;Quilleco;Particular Subvencionado;4.225.000;57.367
Aysén;Aysén;Municipal;4.220.909;53.142
O'Higgins;Palmilla;Municipal;4.217.941;55.355
O'Higgins;Olivar;Municipal;4.216.359;53.374
Metropolitana;Calera De Tango;Particular Subvencionado;4.212.867;53.436
O'Higgins;San Francisco De Mostazal;Municipal;4.212.273;54.521
Metropolitana;La Granja;Municipal;4.211.554;53.503
Valparaíso;Santa Maria;Particular Subvencionado;4.211.462;54.585
Maule;Villa Alegre;Municipal;4.209.828;59.172
Los Lagos;Dalcahue;Municipal;4.207.885;55.794
O'Higgins;Nancagua;Municipal;4.207.258;55.650
Metropolitana;Maria Pinto;Municipal;4.205.000;54.523
Bío-Bío;Los Angeles;Corporación de Administración Delegada;4.202.907;54.252
Arica y Parinacota;Putre;Municipal;4.194.038;53.866
Metropolitana;Lo Prado;Municipal;4.191.667;53.520
Araucanía;Teodoro Schmidt;Municipal;4.190.811;55.555
Valparaíso;El Tabo;Particular Subvencionado;4.189.853;53.366
Bío-Bío;Negrete;Municipal;4.189.355;56.254
O'Higgins;Machalí;Municipal;4.187.530;54.332
Coquimbo;Vicuña;Municipal;4.185.568;54.605
Bío-Bío;Antuco;Municipal;4.179.186;57.059
Los Lagos;Fresia;Particular Subvencionado;4.172.762;54.675
Valparaíso;Con Cón;Municipal;4.168.182;55.600
Metropolitana;Cerrillos;Municipal;4.167.105;55.557
O'Higgins;Codegua;Municipal;4.155.588;56.000
Metropolitana;Melipilla;Municipal;4.152.205;53.932
Araucanía;Gorbea;Municipal;4.150.660;53.906
Coquimbo;Paihuano;Municipal;4.147.222;54.604
Araucanía;Saavedra;Particular Subvencionado;4.146.667;54.185
Metropolitana;Pedro Aguirre Cerda;Municipal;4.146.216;54.018
O'Higgins;Graneros;Municipal;4.141.813;54.053
O'Higgins;Coltauco;Municipal;4.136.731;54.818
Metropolitana;Cerro Navia;Municipal;4.127.813;53.905
Araucanía;Galvarino;Particular Subvencionado;4.127.000;56.047
Valparaíso;Santa Maria;Municipal;4.124.359;53.025
Los Ríos;Márfil;Municipal;4.122.500;56.707
O'Higgins;Peumo;Municipal;4.120.588;56.296
Los Lagos;San Juan De La Costa;Municipal;4.118.125;54.188
Valparaíso;Isla De Pascua;Municipal;4.112.174;54.746
Maule;Yerbas Buenas;Municipal;4.109.474;54.842
Tarapacá;Pozo Almonte;Municipal;4.104.914;56.240
Metropolitana;Calera De Tango;Municipal;4.090.329;55.654
Bío-Bío;Cobquecura;Municipal;4.089.167;58.763
Metropolitana;Pedro Aguirre Cerda;Corporación de Administración Delegada;4.087.071;52.819
O'Higgins;Quinta De Tilcoco;Municipal;4.086.200;55.416
Araucanía;Melipeuco;Particular Subvencionado;4.081.053;58.841
Metropolitana;San José De Maipo;Municipal;4.077.534;53.365
Metropolitana;Lampa;Municipal;4.077.133;55.669
Araucanía;Toltén;Particular Subvencionado;4.070.000;55.300
Araucanía;Renaico;Municipal;4.069.615;55.204
Metropolitana;Quilicura;Municipal;4.054.583;53.809
Maule;Rio Claro;Municipal;4.051.667;52.748
Bío-Bío;Quilaco;Municipal;4.050.909;53.885
Coquimbo;Punitaqui;Municipal;4.050.000;54.126
Metropolitana;La Pintana;Municipal;4.045.155;54.496
Los Lagos;Maullín;Particular Subvencionado;4.045.000;55.600
Maule;Colbún;Particular Subvencionado;4.045.000;53.500
Coquimbo;Rio Hurtado;Municipal;4.032.073;54.481
Valparaíso;Calle Larga;Municipal;4.018.889;50.329
O'Higgins;Requinoa;Municipal;4.018.558;55.514
Atacama;Tierra Amarilla;Municipal;4.013.506;55.460
Los Lagos;Futaleufú;Particular Subvencionado;4.010.000;
Bío-Bío;Hualqui;Particular Subvencionado;4.006.667;54.014
O'Higgins;Placilla;Municipal;4.005.500;55.087
Atacama;Caldera;Municipal;4.001.852;53.709
Los Lagos;San Pablo;Particular Subvencionado;3.998.000;54.675
Metropolitana;San Ramón;Municipal;3.985.584;53.080
Valparaíso;Quintero;Municipal;3.979.333;54.261
Araucanía;Freire;Particular Subvencionado;3.967.813;54.142
Maule;Pencahue;Municipal;3.966.667;60.132
Valparaíso;Papudo;Municipal;3.960.000;55.002
Valparaíso;Calera;Municipal;3.955.217;52.818
Aysén;Coihaique;Corporación de Administración Delegada;3.945.000;54.990
Araucanía;Lumaco;Municipal;3.944.833;54.864
Araucanía;Los Sauces;Municipal;3.941.194;54.791
Metropolitana;Lo Espejo;Municipal;3.940.038;52.799
Valparaíso;Putaendo;Municipal;3.921.818;54.821
Antofagasta;Tocopilla;Municipal;3.921.360;54.756
Metropolitana;San Joaquín;Municipal;3.915.121;55.121
Valparaíso;Catemu;Municipal;3.913.451;53.907
Los Ríos;Los Lagos;Particular Subvencionado;3.902.237;56.082
Metropolitana;Padre Hurtado;Municipal;3.897.449;53.647
Metropolitana;Huechuraba;Municipal;3.897.326;53.355
Araucanía;Curarrehue;Municipal;3.864.583;53.660
Araucanía;Lautaro;Particular Subvencionado;3.858.333;53.504
Maule;Villa Alegre;Particular Subvencionado;3.853.824;56.419
Maule;Rauco;Municipal;3.851.667;56.878
Magallanes;Porvenir;Particular Subvencionado;3.842.180;52.227
Tarapacá;Huara;Municipal;3.782.308;56.227
Maule;Pelarco;Municipal;3.754.643;56.456
Tarapacá;Pozo Almonte;Particular Subvencionado;3.730.000;49.000
Tarapacá;Colchane;Municipal;3.701.667;54.933
Bío-Bío;Alto Bio Bio;Municipal;3.689.583;55.148
Coquimbo;La Higuera;Municipal;3.645.000;55.000
Bío-Bío;Trehuaco;Particular Subvencionado;3.600.556;60.100
